temperatura,humedad,radiacion,hora
25.82,28.07,1093,00:00:46
25.88,29.22,1103,00:00:50
25.89,28.81,1110,00:00:54
25.92,28.66,1115,00:00:58
25.93,28.43,1045,00:01:02
25.94,28.01,1078,00:01:06
25.94,27.77,1054,00:01:10
25.97,28.10,1054,00:01:14
25.98,28.12,1040,00:01:18
26.01,27.90,1050,00:01:22
26.01,27.68,1045,00:01:26
26.02,27.76,1127,00:01:30
26.01,28.23,1136,00:01:34
26.02,28.49,1129,00:01:38
26.04,28.20,1065,00:01:42
26.03,27.68,1143,00:01:46
26.01,27.51,1107,00:01:50
26.02,27.53,1065,00:01:54
26.01,27.47,1070,00:01:58
26.02,27.57,1159,00:02:02
26.01,27.64,1201,00:02:06
26.02,27.74,1099,00:02:10
26.03,27.68,1183,00:02:14
26.02,27.59,1200,00:02:18
26.03,27.59,1158,00:02:22
26.04,27.54,1097,00:02:26
26.04,27.41,1146,00:02:30
26.02,27.42,1040,00:02:34
26.03,27.56,1145,00:02:38
26.04,27.75,1053,00:02:42
26.05,27.83,1146,00:02:46
26.03,27.76,1073,00:02:50
26.02,27.79,1139,00:02:54
26.01,27.77,1113,00:02:58
26.03,27.80,1099,00:03:02
26.03,27.85,1069,00:03:06
26.04,27.97,1077,00:03:10
26.06,28.12,1041,00:03:14
26.08,28.60,1078,00:03:18
26.09,28.72,1070,00:03:22
26.09,28.67,1070,00:03:27
26.10,28.55,1067,00:03:31
26.11,28.46,1060,00:03:35
26.13,28.31,1037,00:03:39
26.14,28.26,1043,00:03:43
26.16,28.24,1037,00:03:47
26.17,28.21,1058,00:03:51
26.20,28.18,1040,00:03:55
26.20,28.22,1046,00:03:59
26.22,28.24,1051,00:04:03
26.22,28.23,1159,00:04:07
26.20,28.22,1150,00:04:11
26.19,28.23,1057,00:04:15
26.19,28.23,1134,00:04:19
26.17,28.01,1157,00:04:23
26.14,27.78,1136,00:04:27
26.12,27.59,1148,00:04:31
26.12,27.50,1076,00:04:35
26.10,27.45,1151,00:04:39
26.10,27.41,1156,00:04:43
26.08,27.46,1058,00:04:47
26.08,27.50,1168,00:04:51
26.09,27.52,1047,00:04:55
26.09,27.51,1168,00:04:59
26.10,27.47,1131,00:05:03
26.12,27.42,1067,00:05:07
26.10,27.40,1163,00:05:11
26.09,27.47,1143,00:05:15
26.12,27.76,1037,00:05:19
26.36,27.53,1040,00:00:02
26.36,27.45,1079,00:00:06
26.36,27.51,1104,00:00:10
26.37,27.60,1055,00:00:14
26.37,27.59,1069,00:00:18
26.38,27.51,1065,00:00:22
26.37,27.32,1076,00:00:26
26.38,27.28,1051,00:00:30
26.38,27.23,1077,00:00:34
26.40,27.22,1071,00:00:38
26.40,27.21,1061,00:00:42
26.42,27.26,1061,00:00:46
26.41,27.39,1083,00:00:50
26.40,27.44,1074,00:00:54
26.41,27.52,1039,00:00:58
26.41,27.64,1141,00:01:02
26.41,27.73,1048,00:01:06
26.42,27.78,1049,00:01:10
26.41,27.84,1040,00:01:14
26.40,27.90,1040,00:01:18
26.38,27.68,1047,00:01:22
26.36,27.57,1040,00:01:26
26.37,27.47,1056,00:01:30
26.38,27.45,1040,00:01:34
26.39,27.58,1063,00:01:38
26.41,27.63,1041,00:01:42
26.41,27.65,1041,00:01:46
26.43,27.71,1060,00:01:50
26.42,27.74,1040,00:01:54
26.40,27.88,1045,00:01:58
26.40,27.99,1051,00:02:02
26.40,28.27,1058,00:02:06
26.39,28.50,1041,00:02:10
26.35,28.48,1055,00:02:14
26.33,28.45,1053,00:02:18
26.37,29.29,1042,00:02:22
26.38,29.37,1041,00:02:26
26.37,29.35,1045,00:02:30
26.35,28.80,1045,00:02:34
26.34,28.33,1047,00:02:38
26.35,28.46,1051,00:02:42
26.36,28.46,1045,00:02:46
26.34,28.15,1050,00:02:50
26.37,28.11,1054,00:02:54
26.39,28.56,1043,00:02:58
26.38,28.26,1041,00:03:02
26.39,27.97,1051,00:03:06
26.39,27.75,1041,00:03:10
26.40,27.45,1040,00:03:14
26.41,27.35,1052,00:03:18
26.41,27.23,1047,00:03:22
26.41,27.24,1047,00:03:26
26.44,28.09,1045,00:03:30
26.48,28.74,1017,00:03:34
26.53,29.28,1045,00:03:38
26.57,30.37,1043,00:03:42
26.59,30.40,1040,00:03:46
26.58,29.48,1042,00:03:50
26.55,28.62,1049,00:03:54
26.56,28.31,1039,00:03:58
26.57,28.32,1053,00:04:03
26.56,28.03,1042,00:04:07
26.56,27.87,1047,00:04:11
26.58,27.63,1039,00:04:15
26.58,27.52,1051,00:04:19
26.58,27.51,1040,00:04:23
26.61,27.60,1049,00:04:27
26.61,27.59,1043,00:04:31
26.63,27.65,1040,00:04:35
26.61,27.63,1046,00:04:39
26.63,27.54,1040,00:04:43
26.62,27.40,1043,00:04:47
26.64,27.31,1040,00:04:51
26.63,27.12,1044,00:04:55
26.64,27.02,1044,00:04:59
26.63,26.94,1040,00:05:03
26.62,26.95,1043,00:05:07
26.64,26.91,1047,00:05:11
26.66,26.98,1033,00:05:15
26.67,26.93,1045,00:05:19
26.68,26.98,1049,00:05:23
26.70,26.98,1035,00:05:27
26.69,27.03,1040,00:05:31
26.72,27.12,1037,00:05:35
26.75,27.42,1036,00:00:02
26.76,27.40,1038,00:00:06
26.90,26.92,1045,00:00:02
26.91,27.10,1034,00:00:06
26.92,27.24,1154,00:00:10
26.92,27.42,1066,00:00:14
26.94,27.69,1218,00:00:18
26.94,27.48,1226,00:00:22
26.96,27.36,1094,00:00:26
26.99,27.36,1040,00:00:30
